season,name,team,position,usg_1st_down,usg_2nd_down,usg_3rd_down,usg_standard_downs,usg_passing_downs,usg_overall
2022,Cameron Ward,Washington State,QB,0.6758,0.686,0.738,0.641,0.756,0.6961
2022,Will Rogers,Mississippi State,QB,0.6451,0.743,0.764,0.645,0.815,0.6956
2022,Clayton Tune,Houston,QB,0.6378,0.698,0.769,0.62,0.799,0.6857
2022,Drake Maye,North Carolina,QB,0.5843,0.705,0.846,0.596,0.873,0.6806
2022,Brennan Armstrong,Virginia,QB,0.6187,0.618,0.831,0.478,0.818,0.6661
2022,Chevan Cordeiro,San José State,QB,0.5849,0.649,0.806,0.609,0.773,0.6504
2022,Hayden Wolff,Old Dominion,QB,0.5545,0.637,0.781,0.567,0.755,0.6355
2022,Austin Reed,Western Kentucky,QB,0.5553,0.683,0.722,0.624,0.751,0.6313
2022,Seth Henigan,Memphis,QB,0.5584,0.677,0.722,0.487,0.84,0.6292
2022,Kyle Vantrease,Georgia Southern,QB,0.5699,0.639,0.733,0.519,0.798,0.6262
2022,Caleb Williams,USC,QB,0.5598,0.625,0.721,0.544,0.772,0.6158
2022,DJ Irons,Akron,QB,0.5986,0.592,0.67,0.511,0.694,0.6098
2022,Riley Leonard,Duke,QB,0.6079,0.552,0.704,0.459,0.722,0.6095
2022,Tanner McKee,Stanford,QB,0.5512,0.641,0.679,0.539,0.723,0.6084
2022,Jayden Daniels,LSU,QB,0.5455,0.641,0.681,0.527,0.738,0.598
2022,Michael Penix Jr.,Washington,QB,0.5957,0.572,0.61,0.429,0.709,0.5904
2022,Hunter Dekkers,Iowa State,QB,0.4888,0.599,0.739,0.523,0.753,0.5881
2022,Jaren Hall,BYU,QB,0.5679,0.531,0.679,0.473,0.69,0.5826
2022,Holton Ahlers,East Carolina,QB,0.4968,0.542,0.81,0.524,0.721,0.5802
2022,Layne Hatcher,Texas State,QB,0.4936,0.589,0.727,0.431,0.79,0.5761
2022,Brady Cook,Missouri,QB,0.461,0.541,0.818,0.5,0.748,0.5704
2022,Payton Thorne,Michigan State,QB,0.4779,0.59,0.738,0.485,0.745,0.5688
2022,Chase Cunningham,Middle Tennessee,QB,0.5134,0.569,0.674,0.479,0.678,0.5639
2022,John Paddock,Ball State,QB,0.4622,0.56,0.764,0.486,0.763,0.5619
2022,Frank Harris,UT San Antonio,QB,0.5037,0.552,0.679,0.489,0.684,0.5538
2022,D.J. Uiagalelei,Clemson,QB,0.4928,0.507,0.747,0.451,0.712,0.5496
2022,Anthony Richardson,Florida,QB,0.4785,0.526,0.699,0.475,0.678,0.5487
2022,E.J. Warner,Temple,QB,0.4182,0.601,0.69,0.529,0.698,0.544
2022,Garrett Shrader,Syracuse,QB,0.4691,0.595,0.63,0.529,0.643,0.5426
2022,Spencer Rattler,South Carolina,QB,0.4926,0.512,0.699,0.364,0.699,0.5341
2022,Dorian Thompson-Robinson,UCLA,QB,0.4976,0.482,0.703,0.446,0.681,0.5338
2022,Sam Hartman,Wake Forest,QB,0.4783,0.523,0.672,0.4,0.721,0.5316
2022,Aidan O'Connell,Purdue,QB,0.4353,0.564,0.713,0.4,0.795,0.5313
2022,Max Duggan,TCU,QB,0.4415,0.538,0.725,0.496,0.693,0.5302
2022,Connor Bazelak,Indiana,QB,0.5395,0.49,0.578,0.383,0.611,0.5292
2022,Matt McDonald,Bowling Green,QB,0.4357,0.527,0.682,0.475,0.664,0.5259
2022,Darren Grainger,Georgia State,QB,0.4725,0.48,0.705,0.357,0.706,0.5253
2022,Bo Nix,Oregon,QB,0.5122,0.463,0.647,0.48,0.607,0.5245
2022,Grant Wells,Virginia Tech,QB,0.4172,0.579,0.649,0.433,0.689,0.5211
2022,James Blackman,Arkansas State,QB,0.3841,0.537,0.744,0.457,0.688,0.5181
2022,Taulia Tagovailoa,Maryland,QB,0.4724,0.502,0.592,0.404,0.639,0.5091
2022,Spencer Sanders,Oklahoma State,QB,0.4621,0.516,0.589,0.401,0.621,0.5064
2022,Robby Ashford,Auburn,QB,0.3918,0.494,0.726,0.439,0.659,0.5038
2022,Carter Bradley,South Alabama,QB,0.4297,0.483,0.637,0.406,0.644,0.4937
2022,Hendon Hooker,Tennessee,QB,0.5012,0.441,0.553,0.37,0.601,0.4914
2022,Tanner Mordecai,SMU,QB,0.4543,0.469,0.599,0.376,0.62,0.4906
2022,Michael Pratt,Tulane,QB,0.4415,0.485,0.565,0.428,0.601,0.4872
2022,Ben Bryant,Cincinnati,QB,0.4455,0.464,0.613,0.382,0.602,0.4858
2022,Stetson Bennett,Georgia,QB,0.4289,0.48,0.633,0.413,0.657,0.4839
2022,Bryce Young,Alabama,QB,0.404,0.505,0.649,0.448,0.627,0.4827
2022,Cole Snyder,Buffalo,QB,0.4226,0.476,0.607,0.318,0.693,0.4816
2022,C.J. Stroud,Ohio State,QB,0.4267,0.481,0.61,0.399,0.657,0.4784
2022,Jaxson Dart,Ole Miss,QB,0.4455,0.423,0.605,0.298,0.658,0.4746
2022,Chris Reynolds,Charlotte,QB,0.4554,0.482,0.507,0.462,0.5,0.4733
2022,Austin Aune,North Texas,QB,0.3982,0.459,0.669,0.385,0.644,0.4711
2022,Cameron Rising,Utah,QB,0.4648,0.423,0.535,0.365,0.593,0.4701
2022,Will Levis,Kentucky,QB,0.3199,0.494,0.735,0.489,0.649,0.4696
2022,Jordan Travis,Florida State,QB,0.3915,0.496,0.595,0.45,0.605,0.4684
2022,Spencer Petras,Iowa,QB,0.3893,0.418,0.681,0.339,0.636,0.468
2022,Blake Shapen,Baylor,QB,0.4227,0.452,0.535,0.354,0.613,0.4614
2022,KJ Jefferson,Arkansas,QB,0.4179,0.387,0.661,0.396,0.575,0.4606
2022,Todd Centeio,James Madison,QB,0.4164,0.43,0.62,0.373,0.583,0.4594
2022,Sean Clifford,Penn State,QB,0.3615,0.496,0.62,0.444,0.603,0.4584
2022,Grayson McCall,Coastal Carolina,QB,0.4218,0.44,0.563,0.358,0.568,0.4559
2022,Brayden Schager,Hawai'i,QB,0.3834,0.479,0.554,0.396,0.589,0.4549
2022,Gavin Hardison,UTEP,QB,0.3846,0.398,0.617,0.348,0.594,0.4505
2022,Chase Brice,Appalachian State,QB,0.3827,0.471,0.586,0.412,0.582,0.4502
2022,Kurtis Rourke,Ohio,QB,0.4134,0.449,0.541,0.423,0.521,0.4499
2022,Gunnar Watson,Troy,QB,0.371,0.465,0.577,0.394,0.587,0.4465
2022,Graham Mertz,Wisconsin,QB,0.3038,0.447,0.686,0.374,0.68,0.4354
2022,Grayson James,Florida International,QB,0.426,0.402,0.497,0.362,0.482,0.435
2022,John Rhys Plumlee,UCF,QB,0.3629,0.431,0.539,0.409,0.56,0.4298
2022,Daniel Richardson,Central Michigan,QB,0.3406,0.426,0.594,0.345,0.583,0.4297
2022,Casey Thompson,Nebraska,QB,0.3902,0.403,0.554,0.366,0.51,0.428
2022,Zion Turner,Connecticut,QB,0.3011,0.411,0.649,0.327,0.627,0.4189
2022,Dillon Gabriel,Oklahoma,QB,0.443,0.349,0.479,0.314,0.472,0.4169
2022,Clay Millen,Colorado State,QB,0.3098,0.424,0.556,0.343,0.538,0.4062
2022,Tommy DeVito,Illinois,QB,0.2989,0.411,0.607,0.394,0.567,0.4061
2022,Malik Cunningham,Louisville,QB,0.3409,0.404,0.528,0.413,0.48,0.4052
2022,Dequan Finn,Toledo,QB,0.345,0.387,0.548,0.301,0.542,0.3998
2022,Kedon Slovis,Pittsburgh,QB,0.3342,0.415,0.525,0.24,0.623,0.3995
2022,JT Daniels,West Virginia,QB,0.4036,0.344,0.455,0.285,0.492,0.3984
2022,Chase Brown,Illinois,RB,0.5132,0.351,0.231,0.39,0.234,0.3944
2022,Brad Roberts,Air Force,RB,0.4589,0.37,0.31,0.458,0.199,0.3911
2022,Andrew Peasley,Wyoming,QB,0.3429,0.352,0.553,0.33,0.516,0.3902
2022,J.J. McCarthy,Michigan,QB,0.3498,0.375,0.503,0.289,0.551,0.3868
2022,N'Kosi Perry,Florida Atlantic,QB,0.3596,0.353,0.483,0.272,0.514,0.3839
2022,Mohamed Ibrahim,Minnesota,RB,0.4169,0.386,0.295,0.482,0.234,0.3838
2022,Jake Haener,Fresno State,QB,0.3282,0.401,0.444,0.282,0.529,0.3718
2022,Drew Pyne,Notre Dame,QB,0.337,0.32,0.544,0.298,0.502,0.3718
2022,Cooper Legas,Utah State,QB,0.2955,0.377,0.509,0.391,0.449,0.3706
2022,Tj McMahon,Rice,QB,0.3168,0.409,0.449,0.268,0.5,0.3686
2022,Deuce Vaughn,Kansas State,RB,0.4278,0.382,0.237,0.351,0.283,0.3671
2022,Collin Schlee,Kent State,QB,0.3277,0.378,0.455,0.337,0.44,0.367
2022,Doug Brumfield,UNLV,QB,0.3205,0.376,0.429,0.333,0.446,0.3659
2022,Taylor Powell,Eastern Michigan,QB,0.3201,0.392,0.435,0.249,0.519,0.3643
2022,Jack Salopek,Western Michigan,QB,0.3113,0.345,0.456,0.289,0.439,0.3582
2022,Taylen Green,Boise State,QB,0.3025,0.353,0.487,0.293,0.482,0.3569
2022,Quinn Ewers,Texas,QB,0.3199,0.332,0.471,0.277,0.479,0.3567
2022,Bijan Robinson,Texas,RB,0.3804,0.398,0.239,0.44,0.249,0.3553
2022,Phil Jurkovec,Boston College,QB,0.2767,0.349,0.525,0.28,0.482,0.3535
2022,Carson Steele,Ball State,RB,0.4174,0.377,0.17,0.444,0.176,0.349
2022,Tyler Van Dyke,Miami,QB,0.3352,0.342,0.348,0.236,0.426,0.3429
2022,Johnathan Bennett,Liberty,QB,0.3034,0.373,0.385,0.273,0.447,0.3424
2022,Davis Brin,Tulsa,QB,0.3065,0.324,0.479,0.274,0.44,0.3421
2022,Ben Wooldridge,Louisiana,QB,0.3097,0.346,0.398,0.272,0.426,0.3402
2022,Jeff Sims,Georgia Tech,QB,0.3217,0.29,0.446,0.294,0.371,0.3362
2022,Adrian Martinez,Kansas State,QB,0.2835,0.323,0.451,0.355,0.394,0.336
2022,Dylan Hopkins,UAB,QB,0.246,0.367,0.485,0.235,0.528,0.3353
2022,Trenton Bourguet,Arizona State,QB,0.2392,0.414,0.405,0.353,0.443,0.3328
2022,Chandler Rogers,Louisiana Monroe,QB,0.3312,0.291,0.381,0.205,0.413,0.332
2022,Sean Tucker,Syracuse,RB,0.4104,0.29,0.218,0.393,0.193,0.3318
2022,Diego Pavia,New Mexico State,QB,0.2701,0.342,0.421,0.271,0.443,0.3301
2022,Khalan Laborn,Marshall,RB,0.3728,0.339,0.219,0.438,0.212,0.3298
2022,Xazavian Valladay,Arizona State,RB,0.4186,0.279,0.23,0.378,0.184,0.3298
2022,Jack Plummer,California,QB,0.2836,0.316,0.413,0.249,0.42,0.3265
2022,Nate Cox,Nevada,QB,0.2563,0.317,0.42,0.295,0.394,0.319
2022,Anthony Grant,Nebraska,RB,0.3537,0.375,0.169,0.36,0.255,0.3187
